url,headline,img_path
/en/news-in-english/19/2126401/lithuania-broadens-possibility-for-expat-children-to-keep-dual-citizenship,Lithuania broadens possibility for expat children to keep dual citizenship,/img/2023/05/22/1516221-159726-150x84.jpg
/en/news-in-english/19/2126335/lithuanian-mp-grazulis-stripped-of-immunity-over-homophobic-statements,Lithuanian MP Gražulis stripped of immunity over homophobic statements,/img/2023/11/08/1621251-35390-150x84.jpg
/en/news-in-english/19/2126312/lithuanian-fm-welcomes-beijing-washington-agreement-means-of-reducing-tensions,Lithuanian FM welcomes Beijing-Washington agreement: ‘means of reducing tensions’,/img/2023/11/15/1626300-402408-150x84.jpg
/en/news-in-english/19/2126280/lithuania-focused-on-having-more-flights-to-germany-minister,Lithuania focused on having more flights to Germany – minister,/img/2020/11/10/770184-807382-150x84.jpg
/en/news-in-english/19/2126256/lithuanian-president-may-have-left-brussels-meeting-early-to-catch-basketball-game-media,Lithuanian president may have left Brussels meeting early to catch basketball game – media,/img/2022/10/21/1367395-609275-150x84.jpg
/en/news-in-english/19/2126147/northway-group-launches-biotech-campus-construction-in-vilnius-biggest-in-europe,"Northway Group launches biotech campus construction in Vilnius, ‘biggest in Europe’",/img/2021/05/07/963647-413400-150x84.jpg
/en/news-in-english/19/2125400/lithuania-testing-warning-sirens,Lithuania testing warning sirens,/img/2020/01/23/589416-995991-150x84.jpg
/en/news-in-english/19/2125739/automatic-guns-in-lithuanians-hands-more-effective-defence-or-tragedy-waiting-to-happen,Automatic guns in Lithuanians’ hands: more effective defence or tragedy waiting to happen?,/img/2023/11/09/1622373-832607-150x84.jpg
/en/news-in-english/19/2125426/lithuania-s-opposition-party-picks-former-nato-official-as-presidential-candidate,Lithuania’s opposition party picks former NATO official as presidential candidate,/img/2023/11/11/1623830-944855-150x84.jpg
/en/news-in-english/19/2125721/lithuania-restores-citizenship-to-2-200-people,"Lithuania restores citizenship to 2,200 people",/img/2023/04/06/1486616-723172-150x84.jpg
/en/news-in-english/19/2125681/lithuania-bans-transit-of-more-dual-use-goods,Lithuania bans transit of more dual-use goods,/img/2022/06/30/1294058-63953-150x84.jpg
/en/news-in-english/19/2125626/ec-downgrades-lithuania-s-gdp-forecast,EC downgrades Lithuania’s GDP forecast,/img/2023/08/04/1563796-842687-150x84.jpg
/en/news-in-english/19/2125538/watchdog-to-probe-lithuanian-president-uk-ambassador-s-opera-visit,"Watchdog to probe Lithuanian president, UK ambassador’s opera visit",/img/2023/10/13/1607367-525090-150x84.jpg
/en/news-in-english/19/2125299/lithuania-germany-to-sign-brigade-agreement-in-december-ministry,"Lithuania, Germany to sign brigade agreement in December – ministry",/img/2023/10/12/1606289-397265-150x84.jpg
/en/news-in-english/19/2125231/lithuania-s-freedom-party-nominates-lawyer-zalimas-for-president,Lithuania’s Freedom Party nominates lawyer Žalimas for president,/img/2023/11/14/1625409-154943-150x84.jpg
/en/news-in-english/19/2125119/vilnius-airport-resumes-operations-after-checks-for-explosives,Vilnius Airport resumes operations after checks for explosives,/img/2023/05/26/1519370-803742-150x84.jpg
/en/news-in-english/19/2125739/automatic-guns-in-lithuanians-hands-more-effective-defence-or-tragedy-waiting-to-happen,Automatic guns in Lithuanians’ hands: more effective defence or tragedy waiting to happen?,
/en/news-in-english/19/2126280/lithuania-focused-on-having-more-flights-to-germany-minister,Lithuania focused on having more flights to Germany – minister,
/en/news-in-english/19/2126401/lithuania-broadens-possibility-for-expat-children-to-keep-dual-citizenship,Lithuania broadens possibility for expat children to keep dual citizenship,/img/2023/05/22/1516221-159726-393x221.jpg
/en/news-in-english/19/2126335/lithuanian-mp-grazulis-stripped-of-immunity-over-homophobic-statements,Lithuanian MP Gražulis stripped of immunity over homophobic statements,/img/2023/11/08/1621251-35390-393x221.jpg
/en/news-in-english/19/2126312/lithuanian-fm-welcomes-beijing-washington-agreement-means-of-reducing-tensions,Lithuanian FM welcomes Beijing-Washington agreement: ‘means of reducing tensions’,/img/2023/11/15/1626300-402408-393x221.jpg
/en/news-in-english/19/2126335/lithuanian-mp-grazulis-stripped-of-immunity-over-homophobic-statements,Lithuanian MP Gražulis stripped of immunity over homophobic statements,/img/2023/11/08/1621251-35390-615x345.jpg
/en/news-in-english/19/2126312/lithuanian-fm-welcomes-beijing-washington-agreement-means-of-reducing-tensions,Lithuanian FM welcomes Beijing-Washington agreement: ‘means of reducing tensions’,/img/2023/11/15/1626300-402408-393x221.jpg
/en/news-in-english/19/2126256/lithuanian-president-may-have-left-brussels-meeting-early-to-catch-basketball-game-media,Lithuanian president may have left Brussels meeting early to catch basketball game – media,/img/2022/10/21/1367395-609275-393x221.jpg
/en/news-in-english/19/2125400/lithuania-testing-warning-sirens,Lithuania testing warning sirens,/img/2020/01/23/589416-995991-393x221.jpg
/en/news-in-english/19/2125426/lithuania-s-opposition-party-picks-former-nato-official-as-presidential-candidate,Lithuania’s opposition party picks former NATO official as presidential candidate,/img/2023/11/11/1623830-944855-393x221.jpg
/en/news-in-english/19/2121367/latvia-introduces-same-sex-partnership,Latvia introduces same-sex partnership,/img/2022/06/04/1275969-403797-615x345.jpg
/en/news-in-english/19/2121152/china-warns-estonia-to-scrap-plans-for-taiwanese-office,China warns Estonia to scrap plans for Taiwanese office,/img/2023/09/22/1593465-605843-615x345.jpg
/en/news-in-english/19/2120493/ukraine-s-eu-accession-talks-what-do-they-really-mean,Ukraine’s EU accession talks: what do they really mean?,/img/2023/11/08/1621601-740895-615x345.jpg
/en/news-in-english/19/2113899/lithuanian-fm-compares-russia-to-nazi-germany-after-anti-jewish-unrest-in-dagestan,Lithuanian FM compares Russia to Nazi Germany after anti-Jewish unrest in Dagestan,/img/2023/10/30/1616584-840310-615x345.jpg
/en/news-in-english/19/2126280/lithuania-focused-on-having-more-flights-to-germany-minister,Lithuania focused on having more flights to Germany – minister,/img/2020/11/10/770184-807382-615x345.jpg
/en/news-in-english/19/2126147/northway-group-launches-biotech-campus-construction-in-vilnius-biggest-in-europe,"Northway Group launches biotech campus construction in Vilnius, ‘biggest in Europe’",/img/2021/05/07/963647-413400-615x345.jpg
/en/news-in-english/19/2125681/lithuania-bans-transit-of-more-dual-use-goods,Lithuania bans transit of more dual-use goods,/img/2022/06/30/1294058-63953-615x345.jpg
/en/news-in-english/19/2125626/ec-downgrades-lithuania-s-gdp-forecast,EC downgrades Lithuania’s GDP forecast,/img/2023/08/04/1563796-842687-615x345.jpg
/en/news-in-english/19/2126401/lithuania-broadens-possibility-for-expat-children-to-keep-dual-citizenship,Lithuania broadens possibility for expat children to keep dual citizenship,/img/2023/05/22/1516221-159726-615x345.jpg
/en/news-in-english/19/2125721/lithuania-restores-citizenship-to-2-200-people,"Lithuania restores citizenship to 2,200 people",/img/2023/04/06/1486616-723172-615x345.jpg
/en/news-in-english/19/2124680/music-bar-in-vilnius-centre-to-promote-partying-with-culture-rather-than-alcohol,‘Music bar’ in Vilnius centre to promote partying with culture rather than alcohol,/img/2020/11/03/766030-613634-615x345.jpg
/en/news-in-english/19/2123770/baltic-young-painter-s-prize-marks-15th-anniversary,Baltic Young Painter’s Prize marks 15th anniversary,/img/2023/11/13/1624310-70025-615x345.jpg
/en/news-in-english/19/2125739/automatic-guns-in-lithuanians-hands-more-effective-defence-or-tragedy-waiting-to-happen,Automatic guns in Lithuanians’ hands: more effective defence or tragedy waiting to happen?,/img/2023/11/09/1622373-832607-615x345.jpg
/en/news-in-english/19/2124522/what-s-behind-lithuania-s-desire-to-normalise-relations-with-china,What’s behind Lithuania’s desire to ‘normalise’ relations with China?,/img/2023/11/13/1624927-785587-615x345.jpg
/en/news-in-english/19/2122322/kaliningrad-is-no-longer-our-problem-but-russia-s-interview-with-nato-colonel,"‘Kaliningrad is no longer our problem, but Russia’s’ – interview with NATO colonel",/img/2023/11/08/1621390-908591-615x345.jpg
/en/news-in-english/19/2120544/delightful-little-gem-of-lithuanian-new-wave-film-review,Delightful little gem of Lithuanian New Wave – film review,/img/2023/11/08/1621660-260208-615x345.jpg
